('32807846', '73478096'): 0.50
('9753964', '32807846'): 0.50
('32807846', '64211118'): 0.50
('32807846', '27918365'): 0.50
('32807846', '73580471'): 0.50
('32807846', '65398390'): 0.50
('32807846', '85692042'): 0.50
('32807846', '72090076'): 0.50
('32807846', '37318031'): 0.50
('32807846', '19671433'): 0.50
('32807846', '4756629'): 0.50
('32807846', '11516241'): 0.50
('32807846', '83438826'): 0.50
('32807846', '23562407'): 0.50
('32807846', '75434695'): 0.50
('32807846', '31467949'): 0.50
('32807846', '37195861'): 0.50
('32807846', '31887806'): 0.50
('32807846', '67282505'): 0.50
('32807846', '95545183'): 0.50
('32807846', '21597117'): 0.50
('32807846', '10613952'): 0.50
('32807846', '64697231'): 0.50
('32807846', '14105623'): 0.50
('32807846', '24073068'): 0.50
('32807846', '8192327'): 0.50
('32807846', '3657444'): 0.49
('32807846', '75195825'): 0.49
('32807846', '4280259'): 0.49
('32807846', '77542832'): 0.49
('32807846', '79785958'): 0.49
('32807846', '56410040'): 0.49
('32807846', '51543904'): 0.49
('32807846', '21441617'): 0.49
('32807846', '75402014'): 0.49
('32807846', '9260791'): 0.49
('32807846', '69610326'): 0.49
('32807846', '51409648'): 0.49
('32807846', '95308449'): 0.49
('32807846', '71344451'): 0.49
('32807846', '57835716'): 0.49
('32807846', '66970002'): 0.49
('32807846', '97631303'): 0.49
('32807846', '58554959'): 0.49
('32807846', '73964868'): 0.49
('32807846', '24842059'): 0.49
('32807846', '2460565'): 0.49
('32807846', '75952542'): 0.49
('32807846', '17266660'): 0.49
('32807846', '88504133'): 0.49
('32807846', '57103969'): 0.49
('32807846', '83334932'): 0.49
('32807846', '30163008'): 0.48
('32807846', '55557574'): 0.48
('32807846', '97518132'): 0.48
('32807846', '28346136'): 0.48
('17484499', '32807846'): 0.48
('32807846', '42198835'): 0.48
('79864860', '32807846'): 0.48
('32807846', '55920742'): 0.48
('32807846', '87910978'): 0.48
('32807846', '66367984'): 0.48
('32807846', '78922939'): 0.48
('32807846', '93657021'): 0.48
('32807846', '87497553'): 0.48
('32807846', '1845204'): 0.48
('32807846', '50608164'): 0.48
('32807846', '78387742'): 0.48
('32807846', '54283059'): 0.48
('32807846', '24131534'): 0.48
('32807846', '50690129'): 0.48
('32807846', '67926903'): 0.48
('32807846', '17132130'): 0.48
('32807846', '48150362'): 0.48
('32807846', '712559'): 0.48
('32807846', '18063928'): 0.48
('32807846', '46008667'): 0.48
('32807846', '15291624'): 0.48
('32807846', '14602126'): 0.48
('32807846', '68038375'): 0.48
('32807846', '11825276'): 0.48
('32807846', '88177324'): 0.48
('32807846', '89058026'): 0.48
('32807846', '59281822'): 0.48
('32807846', '30342076'): 0.48
('32807846', '20285786'): 0.48
('32807846', '54088068'): 0.48
('32807846', '43040603'): 0.48
('32807846', '54959865'): 0.48
('32807846', '59057152'): 0.48
('32807846', '89252153'): 0.48
('32807846', '97688360'): 0.48
('32807846', '56673112'): 0.47
('32807846', '28400508'): 0.47
('32807846', '7150545'): 0.47
('32807846', '43422537'): 0.47
('32807846', '33550694'): 0.47
('32807846', '40390147'): 0.47
('32807846', '74029853'): 0.47
('32807846', '69069911'): 0.47
('32807846', '37742478'): 0.47
('32807846', '60465049'): 0.47
('32807846', '26202165'): 0.47
('32807846', '73176465'): 0.47
('32807846', '40605147'): 0.47
('32807846', '82044280'): 0.47
('32807846', '56713174'): 0.47
('32807846', '81439174'): 0.47
('32807846', '3410461'): 0.47
('32807846', '95685352'): 0.47
('32807846', '30741503'): 0.47
('32807846', '94016752'): 0.47
('32807846', '48156348'): 0.47
('32807846', '62015408'): 0.47
('32807846', '53582587'): 0.47
('32807846', '12014404'): 0.47
('32807846', '58069384'): 0.47
('32807846', '62279055'): 0.47
('32807846', '90502999'): 0.47
('32807846', '79816536'): 0.47
('32807846', '48716527'): 0.47
('32807846', '66403530'): 0.47
('32807846', '33746252'): 0.47
('32807846', '69811710'): 0.47
('32807846', '71278040'): 0.47
('32807846', '6855503'): 0.47
('32807846', '63995093'): 0.47
('32807846', '74093656'): 0.47
('32807846', '83107873'): 0.47
('32807846', '80101899'): 0.47
('32807846', '30100551'): 0.47
('32807846', '98715423'): 0.46
('32807846', '34086406'): 0.46
('32807846', '68957034'): 0.46
('32807846', '40139997'): 0.46
('32807846', '72426662'): 0.46
('32807846', '62962630'): 0.46
('32807846', '71095768'): 0.46
('32807846', '21623008'): 0.46
('32807846', '63854005'): 0.46
('32807846', '6609736'): 0.46
('32807846', '74519184'): 0.46
('32807846', '67835547'): 0.46
('32807846', '52159691'): 0.46
('32807846', '89631139'): 0.46
('32807846', '30683373'): 0.46
('32807846', '92562411'): 0.46
('32807846', '74825788'): 0.46
('32807846', '64867422'): 0.46
('32807846', '76263644'): 0.46
('32807846', '50407691'): 0.46
('32807846', '72302403'): 0.46
('32807846', '84536654'): 0.46
('32807846', '2263869'): 0.46
('32807846', '58911105'): 0.46
